크리스탈 개수 기록
레어 크리스탈 사파이어,희귀한 크리스탈 조개,커다란 크리스탈 원석,최고급 크리스탈 보석함,청명한 크리스탈 자명종,왕 크리스탈 보석반지,장식용 크리스탈 포크스푼,마음에 품은 신성한 크리스탈 검,진주 크리스탈 귀걸이,고정값
1,1.1,1.05,1.12,1.2,1.08,1.08,0.99,0.5,14.025714285714286
20,15,18,21,17,25,12,84,32,1
20,15,18,21,17,25,12,85,32,1
20,15,18,21,17,25,12,86,32,1
20,15,18,21,17,25,12,87,32,1
20,15,18,21,17,25,12,88,32,1
20,15,18,21,17,25,12,88,33,1
20,15,18,21,17,25,12,89,33,1
20,15,18,21,17,25,12,90,33,1
20,15,18,21,17,26,12,90,33,1
20,15,18,21,17,27,12,90,33,1
20,15,19,21,17,27,12,90,33,1
20,16,19,21,17,27,12,90,33,1
20,16,19,21,17,27,12,91,33,1
20,16,19,21,17,27,12,92,33,1
20,17,19,21,17,27,12,92,33,1
20,18,19,21,17,27,12,92,33,1
20,18,19,21,17,27,12,93,33,1
20,18,19,21,17,27,12,93,34,1
20,18,19,21,18,27,12,93,34,1
20,18,19,21,18,28,12,93,34,1
20,18,19,21,18,28,12,94,34,1
20,18,19,21,18,28,12,95,34,1
20,18,19,21,18,28,12,96,34,1
20,18,19,21,19,28,12,96,34,1
20,18,19,21,19,28,12,96,35,1
20,19,19,21,19,28,12,96,35,1
20,19,19,21,19,28,13,96,35,1
20,19,19,21,20,28,13,96,35,1
20,19,19,22,20,28,13,96,35,1
20,19,19,22,20,29,13,96,35,1
21,19,19,22,20,29,13,96,35,1
21,19,19,22,20,29,13,97,35,1
21,19,19,22,20,29,13,97,36,1
